COMMON,SPEC,N,Proportion,AREA,,,,,,,
STRONGYLOCENTROTUS DROEBACHIENSIS,6411,84,0.074074074,4X,,,,,,,
THORNY SKATE,201,233,0.205467372,4X,,,,,,,
TOAD CRAB,2527,127,0.111992945,4X,,,,,,,
WHITE HAKE,12,564,0.497354497,4X,,,,,,,
WINTER FLOUNDER,43,435,0.383597884,4X,,,,,,,
WINTER SKATE,204,223,0.19664903,4X,,,,,,,
WITCH FLOUNDER,41,470,0.414462081,4X,,,,,,,
YELLOWTAIL FLOUNDER,42,249,0.21957672,4X,,,,,,,
ALLIGATORFISH,340,361,0.189104243,4VW,,,,,,,
AMERICAN PLAICE,40,1526,0.799371399,4VW,,,,,,,
ASTEROIDEA S.C.,6100,812,0.425353588,4VW,,,,,,,
ATLANTIC ROCK CRAB,2513,231,0.121005762,4VW,,,,,,,
ATLANTIC SEA POACHER,350,159,0.08328968,4VW,,,,,,,
CAPELIN,64,246,0.128863279,4VW,,,,,,,
COD(ATLANTIC),10,965,0.505500262,4VW,,,,,,,
CRANGON SP.,2416,100,0.052383447,4VW,,,,,,,
DAUBED SHANNY,623,293,0.153483499,4VW,,,,,,,
ECHINARACHNIUS PARMA,6511,304,0.159245678,4VW,,,,,,,
FOURBEARD ROCKLING,114,205,0.107386066,4VW,,,,,,,
HADDOCK,11,927,0.485594552,4VW,,,,,,,
HALIBUT(ATLANTIC),30,307,0.160817182,4VW,,,,,,,
HERMIT CRABS,2559,477,0.249869041,4VW,,,,,,,
HERRING(ATLANTIC),60,815,0.426925092,4VW,,,,,,,
"HOOKEAR SCULPIN,ATL.",880,99,0.051859612,4VW,,,,,,,
HYAS COARCTATUS,2521,386,0.202200105,4VW,,,,,,,
ICELAND SCALLOP,4322,265,0.138816134,4VW,,,,,,,
JONAH CRAB,2511,343,0.179675223,4VW,,,,,,,
LONGFIN HAKE,112,179,0.09376637,4VW,,,,,,,
LONGHORN SCULPIN,300,652,0.341540073,4VW,,,,,,,
MAILED SCULPIN,304,349,0.182818229,4VW,,,,,,,
MARLIN-SPIKE GRENADIER,410,125,0.065479309,4VW,,,,,,,
"MONKFISH,GOOSEFISH,ANGLER",400,292,0.152959665,4VW,,,,,,,
NORTHERN HAGFISH,241,218,0.114195914,4VW,,,,,,,
NORTHERN SAND LANCE,610,613,0.321110529,4VW,,,,,,,
NORTHERN STONE,2523,215,0.112624411,4VW,,,,,,,
OCEAN POUT(COMMON),640,143,0.074908329,4VW,,,,,,,
OCTOPUS,4521,321,0.168150864,4VW,,,,,,,
PANDALUS BOREALIS,2211,448,0.234677842,4VW,,,,,,,
PANDALUS MONTAGUI,2212,629,0.329491881,4VW,,,,,,,
POLLOCK,16,337,0.176532216,4VW,,,,,,,
REDFISH UNSEPARATED,23,803,0.420639078,4VW,,,,,,,
SAND DOLLARS,6500,323,0.169198533,4VW,,,,,,,
SEA ANEMONE,8300,324,0.169722368,4VW,,,,,,,
SEA CUCUMBERS,6600,470,0.2462022,4VW,,,,,,,
SEA PEN,8318,110,0.057621792,4VW,,,,,,,
SEA RAVEN,320,374,0.195914091,4VW,,,,,,,
SEA SCALLOP,4321,319,0.167103195,4VW,,,,,,,
SHORT-FIN SQUID,4511,1019,0.533787323,4VW,,,,,,,
SHORTTAILED EELPOUT(VAHL),647,222,0.116291252,4VW,,,,,,,
SILVER HAKE,14,898,0.470403353,4VW,,,,,,,
SMOOTH SKATE,202,222,0.116291252,4VW,,,,,,,
SNAILS AND SLUGS,4200,158,0.082765846,4VW,,,,,,,
SNAKE BLENNY,622,172,0.090099529,4VW,,,,,,,
SNOW CRAB (QUEEN),2526,1078,0.564693557,4VW,,,,,,,
SPONGES,8600,366,0.191723415,4VW,,,,,,,
SQUIRREL OR RED HAKE,13,330,0.172865375,4VW,,,,,,,
STRIPED ATLANTIC WOLFFISH,50,288,0.150864327,4VW,,,,,,,
STRONGYLOCENTROTUS DROEBACHIENSIS,6411,697,0.365112624,4VW,,,,,,,
THORNY SKATE,201,643,0.336825563,4VW,,,,,,,
TOAD CRAB,2527,339,0.177579885,4VW,,,,,,,
"TURBOT,GREENLAND HALIBUT",31,328,0.171817706,4VW,,,,,,,
WHELKS,4210,203,0.106338397,4VW,,,,,,,
WHITE HAKE,12,523,0.273965427,4VW,,,,,,,
WINTER FLOUNDER,43,224,0.117338921,4VW,,,,,,,
WINTER SKATE,204,138,0.072289157,4VW,,,,,,,
WITCH FLOUNDER,41,1045,0.547407019,4VW,,,,,,,
YELLOWTAIL FLOUNDER,42,925,0.484546883,4VW,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
